snapshot,onwind
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,1448.693608893625
2023-05-15,1786.3037206748927
2023-05-16,2128.4695206822144
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,1092.2504607005385
2023-05-23,7611.403088075092
2023-05-24,900.0826845262062
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,216.91612670184293
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,2511.9405995879997
2023-06-18,2590.4231458653303
2023-06-19,1652.0782305786126
2023-06-20,7406.9064272275355
2023-06-21,12925.768219111216
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,592.370918284875
2023-06-26,3716.2133698069943
2023-06-27,7054.241902659252
2023-06-28,2855.3434307805765
2023-06-29,4474.92776138672
2023-06-30,4029.716959333378
2023-07-01,4866.8995711581965
2023-07-02,4399.281070345972
2023-07-03,5683.181944843124
2023-07-04,7681.7607927906865
2023-07-05,6438.817547455734
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,442.83750269982977
2023-07-10,8563.82208000086
2023-07-11,7009.322626823601
2023-07-12,9943.768448562863
2023-07-13,0.0
2023-07-14,940.7917678260877
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,1796.9355695600552
2023-07-31,0.0
2023-08-01,1763.0230989993258
2023-08-02,4276.2568669925595
2023-08-03,257.09041096738946
2023-08-04,415.32474942526676
2023-08-05,1561.8872246819424
2023-08-06,8509.527179920657
2023-08-07,13889.468525746242
2023-08-08,21613.602378853386
2023-08-09,21188.433853749913
2023-08-10,13725.648735704408
2023-08-11,8014.690721144423
2023-08-12,3366.815390967886
2023-08-13,4228.776514865433
2023-08-14,3470.3590263813785
2023-08-15,10867.513733130127
